218,178,373,700,743,0.51,90,48.9
322,161,138,1058.2,693.81,0.24,3,32.77
198,146.2,232,900,874,0.2,28,46
386,193,72,1190,523,0.42,56,48.8
355,164,143,1064,581,0.63,90,44.52
200,160,200,843,842,0.17,28,34.9
180,166.5,270,850,850,0.21,28,23.65
198,154.8,232,900,872,0.5,28,52
183,188.65,160,837,891,0.5,90,34.2
197,137.9,197,856,856,0.28,28,38.9
238,158.8,159,844,844,0.29,1,10.7
300,200,200,860,845,1.8,28,26.1
440,225.5,110,590,910,2,365,54.6
503,183,158,700,735,0.76,7,58.8
276,161,184,1058.2,693.81,0.24,3,26.5
300,175,200,663,923,1.5,28,54.61
230,192.4,140,837,864,0.8,7,19.3
290,180,318,700,741,0.66,7,34.4
290,175.5,100,837,913,0.8,28,42.7
115,167,336,924,743,0.65,180,37.2
333,173,162,924,743,0.75,28,58.5
350,214,170,792,774,0.81,90,61.1
250,295.2,160,837,566,0.5,28,11
386,193,161,1190,434,0.35,28,44.7
163,163.2,245,851,851,0.2,28,26.2
170,159.1,200,900,928,0.5,1,5
386,193,72,1190,523,0.42,7,29.2
115,167,336,924,743,0.65,28,16
220,156,180,900,916,0.35,1,12.5
225,180,225,818,818,0.35,90,45.93
248,176,203,900,808,0.35,1,12
250,225.5,160,837,742,0.5,90,39.2
210,193.5,220,837,768,0.8,90,45.6
325,195,109,896,747,0.75,90,32.41
465,225.5,85,590,910,1.95,90,59.04
135,180,315,805,805,0.26,28,36.09
322,161,138,1058.2,693.81,0.24,28,57.34
220,176,330,881,686,1.21,28,47.5
290,180,318,700,741,0.66,182,59.9
440,231,110,612,909,3.81,7,17.57
330,176,220,899,700,1.35,28,60.9
360,189,90,612,1109,4.6,28,21.66
412.5,231,137.5,612,909,3.81,7,18.68
386,193,161,1190,434,0.35,119,54.5
412.5,231,137.5,612,909,3.81,28,25.12
300,180,40,876,813,0.7,7,43.5
250,225.5,160,837,746,1,7,15.8
232,135.45,155,847,846,0.38,1,16.6
270,247.5,180,837,647,0.6,28,24.5
415,231,135,590,910,1.8,28,31.5
467.5,231,82.5,612,909,3.81,28,18.3
250,281.05,261,837,478,0.5,28,17
270,198,180,842,801,0.66,28,44.7
225,170,247,924,743,0.68,90,49.3
232,135.45,155,847,846,0.38,7,31.3
325,190,175,735,910,1.35,28,42.56
350,302.08,162,840,768,0.09,28,51.7
495,231,55,612,909,3.81,28,17.2
380,184,145,854,788,0.42,7,53.2
200,160,200,843,842,0.17,7,19.3
333,173,162,924,743,0.75,180,68
276,161,184,1058.2,693.81,0.24,90,71.66
260,215,260,775,757,0.77,90,39.3
350,190,150,735,910,1.35,28,45.11
170,159.1,200,900,930,0.2,28,31
180,198,270,829,778,0.67,28,30.3
300,180,40,876,813,0.7,56,70.88
250,225.5,160,837,742,0.5,7,13.9
450,188,70,844,825,2.34,365,90.6
290,253.5,100,837,709,0.2,28,26.6
360,198,90,855,813,0.71,90,68
230,192.4,140,837,864,0.8,28,32.1
218,178,373,700,743,0.51,28,35.3
317,262.35,160,837,594,0.5,28,29.1
163,163.2,245,851,851,0.2,7,14.7
330,231,220,612,909,3.81,7,16.96
330,176,220,899,700,1.35,28,60.9
200,180,60,876,782,0.7,56,40.44
160,156,240,900,886,0.35,1,7
322,161,138,1058.2,693.81,0.24,7,45.76
350,178,186,851,786,0.45,1,18.3
386,193,161,1190,434,0.35,7,26.1
437,176,80,924,743,0.9,90,78
415,231,135,590,910,1.8,90,43.87
238,158.8,159,844,844,0.29,7,25.8
220,156,180,900,916,0.6,28,43
350,235.11,111,900,831,0.15,28,61
330,231,220,612,909,3.81,28,19.93
503,183,158,700,735,0.76,90,71.7
218,178,373,700,743,0.51,7,21.6
355,242,195,590,910,1.8,365,43.7
225,189,225,612,1109,4.6,28,19.21
280,156,120,900,946,0.35,1,16
350,178,186,851,786,0.45,7,51.1
210,193.5,220,837,768,0.8,28,26.7
300,180,40,876,813,0.7,1,16.66
350,211.2,90,923,852,0.14,28,46.5
348,286,224,848,783,0.43,28,58.6
375,195,125,735,910,1.35,28,49.39
315,180,135,831,831,0.4,90,50.13
197,137.9,197,856,856,0.28,1,7.8
380,252,145,659,988,0.13,28,65.5
325,333.75,120,850,755,0.43,28,32.2
220,156,180,900,916,0.6,1,12
247,185.4,165,846,845,0.12,1,8.7
290,229.5,220,837,625,0.2,7,11.5
250,225.5,160,837,739,0,28,27.3
467.5,231,82.5,612,909,3.81,7,16.71
350,273.36,186,851,786,0.11,28,70.4
375,175,125,679,938,1.5,7,59.9
330,176,220,899,700,1.35,90,77.9
375,175,125,679,938,1.5,28,61.33
380,200,192,621,931,0.43,28,67.8
183,188.65,160,837,891,0.5,7,12
100,180,80,876,751,0.7,7,5.77
180,198,270,829,778,0.67,90,42.5
380,297.86,192,621,931,0.1,28,67.8
225,175,275,652,908,1.5,3,40.23
270,247.5,180,837,647,0.6,90,37.2
180,166.5,270,850,850,0.21,90,32.32
250,210,250,856,856,1.72,28,21.5
380,184,145,854,788,0.42,1,26.9
270,189,180,612,1109,4.6,7,17.56
240,202.8,150,837,831,0.6,7,19
250,295.2,160,837,566,0.5,90,17.2
250,225.5,160,837,739,0,7,15.5
225,175,275,652,908,1.5,28,41.95
250,295.2,160,837,566,0.5,7,6.2
386,193,72,1190,523,0.42,28,35.3
225,170,247,924,743,0.68,28,37.2
368,161,92,1058.2,693.81,0.24,7,52.49
220,156,180,900,916,0.35,28,46
225,170,247,924,743,0.68,180,56.4
300,190,200,735,910,1.35,3,20.09
292.5,189,157.5,612,1109,4.6,7,18.44
250,155.8,160,837,919,0.5,28,36.3
290,229.5,220,837,625,0.2,28,32.9
163,163.2,245,851,851,0.2,1,4.9
440,176,110,917,714,1.35,28,69.8
238,158.8,159,844,844,0.29,28,37.8
250,225.5,160,837,742,0.5,90,40.96
100,180,80,876,751,0.7,28,10.66
290,253.5,100,837,709,0.2,7,12.8
400,180,20,876,845,0.7,1,18.88
250,225.5,160,837,742,0.5,7,14.7
327,265,173,803,902,0.2,28,61.6
225,180,225,818,818,0.35,28,42.67
386,193,72,1190,523,0.42,119,51.7
240,202.8,150,837,831,0.6,28,30.9
290,175.5,100,837,913,0.8,7,32.3
386,193,72,1190,523,0.42,3,23.3
207,186.3,207,843,845,0.4,28,33.2
368,161,92,1058.2,693.81,0.24,90,74.61
465,225.5,85,590,910,1.95,365,61.4
250,225.5,160,837,742,0.5,28,25.3
250,225.5,160,837,742,0.5,28,24.1
315,180,135,831,831,0.4,28,38.28
276,161,184,1058.2,693.81,0.24,28,54.99
440,225.5,110,590,910,2,28,33.31
385,236.5,165,590,910,1.8,90,42.07
270,198,180,842,801,0.66,90,60.3
380,252,145,854,788,0.1,28,73.5
275,231,275,612,909,3.81,7,12.32
368,161,92,1058.2,693.81,0.24,3,39.65
380,184,145,854,788,0.42,28,73.5
280,258.5,190,837,599,0.7,28,24
210,201.5,100,837,910,0.8,90,28
495,231,55,612,909,3.81,7,16.51
315,189,135,612,1109,4.6,7,25.33
135,180,315,805,805,0.26,90,39.88
440,176,110,917,714,1.35,90,84.4
280,156,120,900,946,0.35,28,45
200,180,60,876,782,0.7,28,33.33
350,190,150,876,830,1.82,90,39.55
220,180,180,900,850,0.35,28,38
61,140.7,241,864,866,0.3,1,7.3
437,176,80,924,743,0.9,28,69.7
390,195,156,844,779,0.71,28,53
450,188,70,844,825,2.34,28,70.8
250,225.5,160,837,742,0.5,7,16.56
386,193,72,1190,523,0.42,7,24.5
325,190,175,735,910,1.35,7,29.79
210,279.5,220,837,562,0.2,7,6.2
355,242,195,590,910,1.8,28,29.71
385,231,165,612,909,3.81,7,26.71
237,159.1,133,900,960,0.5,1,16
285.5,188.1,285,788.7,788.7,0.4,28,58.75
386,193,72,1190,523,0.42,28,42.3
385,236.5,165,590,910,1.8,365,44.9
503,183,158,700,735,0.76,28,68.4
350,178,186,851,786,0.45,28,70.4
300,190,200,735,910,1.35,130,59.04
315,189,135,612,1109,4.6,28,28.95
290,175.5,100,837,913,0.8,90,55.9
385,231,165,612,909,3.81,28,30.01
169,190.35,254,853,853,0,7,15.6
386,193,161,1190,434,0.35,3,24.8
385,236.5,165,590,910,1.8,28,30.7
427,243.9,115,844,779,0.12,28,59.4
386,193,161,1190,434,0.35,7,31.3
503,183,158,700,735,0.76,182,69.5
210,201.5,100,837,910,0.8,7,11.1
350,190,150,735,910,1.35,3,24.11
300,175,200,663,923,1.5,7,48.98
290,180,318,700,741,0.66,90,62.5
169,190.35,254,853,853,0,28,30.2
260,215,260,775,757,0.77,365,54.9
368,161,92,1058.2,693.81,0.24,28,64.96
290,180,318,700,741,0.66,28,54
210,201.5,100,837,910,0.8,28,19.1
250,210,250,856,856,1.72,90,30.32
220,132,180,900,982,0.35,28,51
386,193,72,1190,523,0.42,90,50.5
115,167,336,924,743,0.65,7,8.4
375,195,125,735,910,1.35,3,27.66
210,279.5,220,837,562,0.2,28,10.2
200,160,200,843,842,0.17,1,7
135,180,315,805,805,0.26,7,17.47
61,140.7,241,864,866,0.3,28,35.8
200,180,60,876,782,0.7,7,21.77
115,167,336,924,743,0.65,90,26.1
290,253.5,100,837,709,0.2,90,35.7
315,180,135,831,831,0.4,7,32.07
220,176,330,881,686,1.21,28,47.5
61,140.7,241,864,866,0.3,7,20.6
317,262.35,160,837,594,0.5,7,17
220,156,180,900,916,0.35,1,13
337.5,189,112.5,612,1109,4.6,28,22.71
275,231,275,612,909,3.81,28,16.9
400,180,20,876,845,0.7,28,55.77
386,193,161,1190,434,0.35,56,51.2
360,198,90,855,813,0.71,28,52.1
386,193,161,1190,434,0.35,28,36.9
210,279.5,220,837,562,0.2,90,19.7
276,161,184,1058.2,693.81,0.24,7,43.76
427.5,188.1,142.5,812.1,812.1,0.5,28,50
300,180,40,876,813,0.7,28,58.88
322,161,138,1058.2,693.81,0.24,90,72.61
169,190.35,254,853,853,0,1,5.2
382.5,189,67.5,612,1109,4.6,28,16.56
350,190,150,735,910,1.35,130,55.24
440,231,110,612,909,3.81,28,23.27
210,193.5,220,837,786,0.8,7,15.5
386,193,161,1190,434,0.35,90,53.8
207,186.3,207,843,845,0.4,7,17.4
270,247.5,180,837,647,0.6,7,14.6
465,225.5,85,590,910,1.95,28,35.33
170,157,200,900,930,0.2,1,6
220,156,180,900,916,0.35,28,49
440,225.5,110,590,910,2,90,52.8
200,180,60,876,782,0.7,1,4.44
